No,Type,Time,Title
0,A,0,더미
1,B,30,계란 요리 중\n가장 대표적인 것은?
2,B,30,오징어 요리 중\n가장 대표적인 것은?
3,B,30,야식 카테고리를\n대표하는 음식이라고 한다면?
4,B,30,여름의 대표적인\n음식이라고 한다면?
5,B,30,술 먹은 다음 날\n해장 음식이라고 한다면?
6,B,30,삼겹살 먹을 때\n곁들일 사이드로 필수인 것은?
7,B,30,마라탕에 필수인 재료는?
8,B,30,배스킨라빈스를 대표하는\n아이스크림 맛은?
9,B,30,인기 많은 여자 아이돌 그룹 하면?
10,B,30,미남 연예인이라고 하면?
11,B,30,‘그대여’ 라는 가사가 포함된\n노래라고 했을 때 생각나는 노래?
12,B,30,크리스마스 하면\n생각나는 영화는?
13,B,30,히어로물 하면\n생각나는 영화는?
14,B,30,넷플릭스의 대표 작품은?
15,B,30,지브리의 대표 영화는?
16,B,30,디즈니의 대표 캐릭터는?
17,B,30,‘탐정’이라고 했을 때\n생각나는 캐릭터는?
18,B,30,‘해적’이라고 했을 때\n생각나는 캐릭터는?
19,B,30,세계에서 인기있는\n일본의 대표 게임은?
20,B,30,세계에서 인기있는\n일본의 대표 만화는?
21,B,30,한국을 대표하는\n위인이라고 하면?
22,B,30,가장 혐오스러운 벌레는?
23,B,30,생활하는 데 있어서\n가장 필수인 가전 제품은?
24,B,30,라면이 가장 맛있는 장소는?
25,B,30,네글자 햄버거 브랜드
26,B,30,세글자 탄산음료
27,B,30,세글자 면 요리
28,B,30,세글자 파충류
29,B,30,‘치’로 끝나는 생선 이름
30,B,30,‘아’로 끝나는 나라 이름
31,B,30,화구(그림 도구) 했을 때\n생각 나는 것은?
32,B,30,영국을 대표하는\n작가라고 한다면?
33,C,30,좋아하는 거물연어는?
34,C,30,싫어하는 거물연어는?
35,C,30,좋아하는 밤 시나리오는?
36,C,30,싫어하는 밤 시나리오는?
37,C,30,연어런에서 가장 강력하다고\n생각하는 무기는?
38,C,30,연어런에서 가장 강력하다고\n생각하는 쿠마무기는?
39,C,30,상회 로고 vs 연어알 vs 음각\n 연어 금플 중\n가장 마음에 드는 것은? 
40,C,30,가장 좋아하는 연어런 맵은?
41,C,30,상대하기 쉽다고\n생각하는 두목연어는?
42,C,30,랭크에서 가장 사기라고\n생각하는 스페셜은?
43,C,30,가장 별로라고\n생각하는 스페셜은?
44,C,30,상대했을 때\n가장 짜증나는 서브 웨폰은?
45,C,30,랭크에서 적으로\n가장 만나기 싫은 무기는?
46,C,30,랭크에서 아군으로\n가장 만나기 싫은 무기는?
47,C,30,가장 좋아하는 배틀맵은?
48,C,30,가장 싫어하는 배틀맵은?
49,C,30,가장 선호하는 랭크 룰은?
50,C,30,페스vs이벤매vs빅런vs알바콘\n가장 선호하는 이벤트는?
51,C,30,가장 재밌었던 이벤트매치 룰은?
52,C,30,스플래툰 4에서\n생겼으면 하는 기능은?
53,C,30,좋아하는 무기군은?
54,C,30,악세서리 vs 옷 vs 신발\n룩의 완성은 이거지!
55,C,30,스플래툰 기어 브랜드 중에\n가장 선호하는 브랜드는?
56,C,30,오징어 vs 문어
57,C,30,가장 매력적인\n스플래툰 아이돌은? (개인)
58,C,30,스플래툰 NPC (아이돌 제외)\n중 좋아하는 캐릭터는?
59,C,30,좋아하는 스플래툰 ost는?
60,C,30,좋아하는 닌텐도 IP는?
61,C,30,히어로 모드에서\n가장 기억에 남는 스테이지는?
62,C,30,연어런에서 기어 파워를\n단 하나만(1.0) 쓸 수 있다면\n택할 파워는?
63,C,30,배틀에서 가장 필수라고 생각하는\n기어 파워는?
64,C,30,배틀에서 가장 쓸모 없다고 생각하는\n기어 파워는?
65,D,30,탕수육\n부먹 vs 찍먹
66,D,30,팝콘\n달달한 맛 vs 짭짤한 맛
67,D,30,놀이공원 vs 워터파크
68,D,30,참치마요 vs 전주비빔
69,D,30,밥 vs 빵 vs 면
70,D,30,스타팅 포켓몬\n불 vs 물 vs 풀
71,D,30,중요한 것은?\n과거 vs 현재 vs 미래
72,D,30,치킨\n후라이드 vs 양념 vs 간장
73,D,30,물복 vs 딱복
74,D,30,계란후라이 노른자\n완숙 vs 반숙
75,D,30,쌀떡볶이 vs 밀떡볶이
